counter,shot_type,made,attempts,percentage
800,running 3pt,5,5,1.0
900,hook,1362,2960,0.46013513513513515
900,jump bank,1102,1565,0.7041533546325879
900,jump,24632,71408,0.3449473448353126
900,turnaround jump,1491,2753,0.5415909916454776
900,running dunk,99,104,0.9519230769230769
900,driving layup,5997,7959,0.7534866189219751
900,running jump,1864,3191,0.5841429019116264
900,follow up dunk,383,420,0.9119047619047619
900,dunk,2400,2764,0.8683068017366136
900,fade away,766,1226,0.6247960848287113
900,reverse layup,1434,2090,0.6861244019138756
900,layup,11415,24071,0.4742220929749491
900,driving dunk,668,711,0.939521800281294
900,tip,1318,2590,0.5088803088803089
900,driving finger roll,466,607,0.7677100494233937
900,slam dunk,1614,1646,0.9805589307411907
900,turnaround hook,200,364,0.5494505494505495
900,alley oop layup,183,251,0.7290836653386454
900,running hook,254,420,0.6047619047619047
900,alley oop dunk,595,657,0.9056316590563166
900,running layup,386,618,0.6245954692556634
900,jump hook,648,1056,0.6136363636363636
900,tip-in,11,71,0.15492957746478872
900,turnaround finger roll,16,17,0.9411764705882353
900,hook bank,61,67,0.9104477611940298
900,reverse dunk,145,154,0.9415584415584416
900,3pt,5006,11957,0.4186668896880488
900,fade away jumper,416,699,0.5951359084406295
900,driving hook,96,164,0.5853658536585366
900,finger roll,209,300,0.6966666666666667
900,running finger roll,40,51,0.7843137254901961
900,running finger,22,33,0.6666666666666666
900,alley oop layup shot,109,150,0.7266666666666667
900,running tip-in,3,3,1.0
900,de souza jump,1,1,1.0
900,de souza driving layup,1,1,1.0
900,running tip,2,2,1.0
900,running 3pt,5,5,1.0
1000,hook,1479,3217,0.4597451041342866
1000,jump bank,1217,1727,0.7046902142443544
1000,jump,26733,77317,0.3457583713801622
1000,turnaround jump,1677,3079,0.544657356284508
1000,running dunk,112,117,0.9572649572649573
1000,driving layup,6658,8806,0.7560754031342266
1000,running jump,2051,3509,0.5844970076944999
1000,follow up dunk,420,460,0.9130434782608695
1000,dunk,2718,3121,0.8708747196411407
1000,fade away,766,1226,0.6247960848287113
1000,reverse layup,1602,2336,0.6857876712328768
1000,layup,12599,26645,0.47284668793394635
1000,driving dunk,741,786,0.9427480916030534
1000,tip,1438,2843,0.5058037284558565
1000,driving finger roll,525,687,0.7641921397379913
1000,slam dunk,1827,1862,0.981203007518797
1000,turnaround hook,230,410,0.5609756097560976
1000,alley oop layup,183,251,0.7290836653386454
1000,running hook,275,456,0.6030701754385965
1000,alley oop dunk,689,764,0.9018324607329843
1000,running layup,422,671,0.6289120715350224
1000,jump hook,728,1179,0.6174724342663274
1000,tip-in,11,71,0.15492957746478872
1000,turnaround finger roll,17,18,0.9444444444444444
1000,hook bank,63,69,0.9130434782608695
1000,reverse dunk,160,170,0.9411764705882353
1000,3pt,6240,15417,0.40474800544853085
1000,fade away jumper,560,937,0.5976520811099253
1000,driving hook,111,185,0.6
1000,finger roll,225,329,0.6838905775075987
1000,running finger roll,40,51,0.7843137254901961
